P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S02	S01	S11	nan	3.0452e-314	nan	0	189.5	0	0
S02	S01	S12	nan	3.0452e-314	nan	0	191.5	0	0
S02	S01	S13	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S14	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S15	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S16	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S17	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S18	nan	3.0452e-314	nan	0	190.5	0	0
S02	S01	S19	nan	3.0452e-314	nan	0	190.5	0	0
S04	S03	S01	0.2	3.04519e-314	nan	0.00223432	117	3	2
S03	S05	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S06	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S07	S01	0.333333	3.04519e-314	nan	0.00223933	123	2	1
S03	S01	S08	0.310345	1.2321	0.217912	0.0187476	38	19	10
S03	S01	S09	0.310345	1.181	0.237604	0.0186892	38	19	10
S03	S01	S10	0.5	1.82634	0.0677987	0.0288288	39	21	7
S03	S01	S11	0.151515	0.661247	0.508454	0.0102498	38	19	14
S03	S01	S12	0.241379	0.918692	0.358257	0.0136602	39	18	11
S03	S01	S13	0.241379	0.918692	0.358257	0.0136336	38	18	11
S03	S01	S14	0.241379	0.918692	0.358257	0.0154015	38	18	11
S03	S01	S15	0.241379	0.918692	0.358257	0.0135054	38	18	11
S03	S01	S16	0.241379	0.918692	0.358257	0.0143406	38	18	11
S03	S01	S17	0.241379	0.918692	0.358257	0.01387	38	18	11
S03	S01	S18	0.241379	0.918692	0.358257	0.0147835	38	18	11
S03	S01	S19	0.241379	0.918692	0.358257	0.0143168	38	18	11
S04	S05	S01	1	3.04519e-314	nan	0.00446865	181	2	0
S04	S06	S01	1	3.04519e-314	nan	0.00446865	176	2	0
S04	S07	S01	1	3.04519e-314	nan	0.00446865	177	2	0
S04	S01	S08	0.44	1.62136	0.10494	0.0228186	36	18	7
S04	S01	S09	0.44	1.52719	0.126713	0.0227478	36	18	7
S04	S01	S10	0.666667	2.41191	0.0158692	0.0328121	37	20	4
S04	S01	S11	0.266667	1.05869	0.28974	0.0162995	37	19	11
S04	S01	S12	0.36	1.2163	0.223869	0.0174948	37	17	8
S04	S01	S13	0.36	1.2163	0.223869	0.0174609	36	17	8
S04	S01	S14	0.36	1.2163	0.223869	0.0197152	36	17	8
S04	S01	S15	0.36	1.2163	0.223869	0.0172973	36	17	8
S04	S01	S16	0.36	1.2163	0.223869	0.0183627	36	17	8
S04	S01	S17	0.36	1.2163	0.223869	0.0177624	36	17	8
S04	S01	S18	0.36	1.2163	0.223869	0.0189274	36	17	8
S04	S01	S19	0.36	1.2163	0.223869	0.0183323	36	17	8
S05	S06	S01	nan	3.04519e-314	nan	0	291.5	0	0
S05	S07	S01	nan	3.04519e-314	nan	0	298.5	0	0
S05	S01	S08	0.44	1.62136	0.10494	0.0228186	38	18	7
S05	S01	S09	0.44	1.52719	0.126713	0.0227478	38	18	7
S05	S01	S10	0.666667	2.41191	0.0158692	0.0328121	39	20	4
S05	S01	S11	0.241379	0.950178	0.342022	0.0142912	38	18	11
S05	S01	S12	0.36	1.2163	0.223869	0.0174948	39	17	8
S05	S01	S13	0.36	1.2163	0.223869	0.0174609	38	17	8
S05	S01	S14	0.36	1.2163	0.223869	0.0197152	38	17	8
S05	S01	S15	0.36	1.2163	0.223869	0.0172973	38	17	8
S05	S01	S16	0.36	1.2163	0.223869	0.0183627	38	17	8
S05	S01	S17	0.36	1.2163	0.223869	0.0177624	38	17	8
S05	S01	S18	0.36	1.2163	0.223869	0.0189274	38	17	8
S05	S01	S19	0.36	1.2163	0.223869	0.0183323	38	17	8
S06	S07	S01	nan	3.04519e-314	nan	0	302.25	0	0
S06	S01	S08	0.44	1.62136	0.10494	0.0228186	38	18	7
S06	S01	S09	0.44	1.52719	0.126713	0.0227478	38	18	7
S06	S01	S10	0.666667	2.41191	0.0158692	0.0328121	39	20	4
S06	S01	S11	0.241379	0.950178	0.342022	0.0142912	38	18	11
S06	S01	S12	0.36	1.2163	0.223869	0.0174948	39	17	8
S06	S01	S13	0.36	1.2163	0.223869	0.0174609	38	17	8
S06	S01	S14	0.36	1.2163	0.223869	0.0197152	38	17	8
S06	S01	S15	0.36	1.2163	0.223869	0.0172973	38	17	8
S06	S01	S16	0.36	1.2163	0.223869	0.0183627	38	17	8
S06	S01	S17	0.36	1.2163	0.223869	0.0177624	38	17	8
S06	S01	S18	0.36	1.2163	0.223869	0.0189274	38	17	8
S06	S01	S19	0.36	1.2163	0.223869	0.0183323	38	17	8
S07	S01	S08	0.44	1.62136	0.10494	0.0228186	38	18	7
S07	S01	S09	0.44	1.52719	0.126713	0.0227478	38	18	7
S07	S01	S10	0.666667	2.41191	0.0158692	0.0328121	39	20	4
S07	S01	S11	0.241379	0.950178	0.342022	0.0142912	38	18	11
S07	S01	S12	0.36	1.2163	0.223869	0.0174948	39	17	8
S07	S01	S13	0.36	1.2163	0.223869	0.0174609	38	17	8
S07	S01	S14	0.36	1.2163	0.223869	0.0197152	38	17	8
S07	S01	S15	0.36	1.2163	0.223869	0.0172973	38	17	8
S07	S01	S16	0.36	1.2163	0.223869	0.0183627	38	17	8
S07	S01	S17	0.36	1.2163	0.223869	0.0177624	38	17	8
S07	S01	S18	0.36	1.2163	0.223869	0.0189274	38	17	8
S07	S01	S19	0.36	1.2163	0.223869	0.0183323	38	17	8
S09	S08	S01	0	3.04519e-314	nan	0	81	2	2
S08	S10	S01	0.142857	0.353553	0.723674	0.00214794	68	4	3
S11	S08	S01	0	0	1	0	43	6	6
S12	S08	S01	0.142857	0.400892	0.6885	0.0042775	38	8	6
S13	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S14	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S15	S08	S01	0.0769231	0.213963	0.830576	0.00214334	38	7	6
S16	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S17	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S18	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S19	S08	S01	0.0769231	0.213963	0.830576	0.00214334	37	7	6
S09	S10	S01	0.111111	0.276818	0.78192	0.00214794	73	5	4
S11	S09	S01	0	0	1	0	40	7	7
S12	S09	S01	0.125	0.34769	0.728073	0.0042775	39	9	7
S13	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S14	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S15	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S16	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S17	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S18	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S19	S09	S01	0.0666667	0.185435	0.852888	0.00214334	38	8	7
S11	S10	S01	0.0666667	0.196039	0.844579	0.00214794	37	8	7
S12	S10	S01	0.2	0.556304	0.578003	0.00641625	35	9	6
S13	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S14	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S15	S10	S01	0.125	0.338886	0.734696	0.00428667	33	9	7
S16	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S17	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S18	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S19	S10	S01	0.125	0.338886	0.734696	0.00428667	32	9	7
S12	S11	S01	0.166667	0.448211	0.654001	0.0042775	73	7	5
S13	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S14	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S15	S11	S01	0.0909091	0.246132	0.80558	0.00214334	73	6	5
S16	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S17	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S18	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S19	S11	S01	0.0909091	0.246132	0.80558	0.00214334	72	6	5
S12	S13	S01	1	3.04519e-314	nan	0.00213875	139	1	0
S12	S14	S01	1	3.04519e-314	nan	0.00213875	139	1	0
S12	S15	S01	1	3.04519e-314	nan	0.00213875	140	1	0
S12	S16	S01	1	3.04519e-314	nan	0.00213875	141	1	0
S12	S17	S01	1	3.04519e-314	nan	0.00213875	141	1	0
S12	S18	S01	1	3.04519e-314	nan	0.00213875	141	1	0
S12	S19	S01	1	3.04519e-314	nan	0.00213875	141	1	0
S13	S14	S01	nan	3.04519e-314	nan	0	227	0	0
S13	S15	S01	nan	3.04519e-314	nan	0	225	0	0
S13	S16	S01	nan	3.04519e-314	nan	0	226	0	0
S13	S17	S01	nan	3.04519e-314	nan	0	228	0	0
S13	S18	S01	nan	3.04519e-314	nan	0	227	0	0
S13	S19	S01	nan	3.04519e-314	nan	0	228	0	0
S14	S15	S01	nan	3.04519e-314	nan	0	269.75	0	0
S14	S16	S01	nan	3.04519e-314	nan	0	277.75	0	0
S14	S17	S01	nan	3.04519e-314	nan	0	279.75	0	0
S14	S18	S01	nan	3.04519e-314	nan	0	278	0	0
S14	S19	S01	nan	3.04519e-314	nan	0	279	0	0
S15	S16	S01	nan	3.04519e-314	nan	0	282	0	0
S15	S17	S01	nan	3.04519e-314	nan	0	286	0	0
S15	S18	S01	nan	3.04519e-314	nan	0	284.25	0	0
S15	S19	S01	nan	3.04519e-314	nan	0	287	0	0
S16	S17	S01	nan	3.04519e-314	nan	0	291.25	0	0
S16	S18	S01	nan	3.04519e-314	nan	0	291	0	0
S16	S19	S01	nan	3.04519e-314	nan	0	294	0	0
S17	S18	S01	nan	3.04519e-314	nan	0	356	0	0
S17	S19	S01	nan	3.04519e-314	nan	0	360.75	0	0
S18	S19	S01	nan	3.04519e-314	nan	0	406.125	0	0
S04	S03	S02	0.2	3.04519e-314	nan	0.00222469	116	3	2
S03	S05	S02	0.6	3.04519e-314	nan	0.00668896	122	4	1
S03	S06	S02	0.6	3.04519e-314	nan	0.00668896	122	4	1
S03	S07	S02	0.6	3.04519e-314	nan	0.00668896	122	4	1
S03	S02	S08	0.310345	1.2321	0.217912	0.0187476	39	19	10
S03	S02	S09	0.310345	1.181	0.237604	0.0186892	39	19	10
S03	S02	S10	0.5	1.82634	0.0677987	0.0288288	40	21	7
S03	S02	S11	0.151515	0.661247	0.508454	0.0102498	39	19	14
S03	S02	S12	0.241379	0.918692	0.358257	0.0136602	40	18	11
S03	S02	S13	0.241379	0.918692	0.358257	0.0136336	39	18	11
S03	S02	S14	0.241379	0.918692	0.358257	0.0154015	39	18	11
S03	S02	S15	0.241379	0.918692	0.358257	0.0135054	39	18	11
S03	S02	S16	0.241379	0.918692	0.358257	0.0143406	39	18	11
S03	S02	S17	0.241379	0.918692	0.358257	0.01387	39	18	11
S03	S02	S18	0.241379	0.918692	0.358257	0.0147835	39	18	11
S03	S02	S19	0.241379	0.918692	0.358257	0.0143168	39	18	11
S04	S05	S02	1	3.04519e-314	nan	0.00889878	180	4	0
S04	S06	S02	1	3.04519e-314	nan	0.00889878	175	4	0
S04	S07	S02	1	3.04519e-314	nan	0.00889878	176	4	0
S04	S02	S08	0.44	1.62136	0.10494	0.0228186	37	18	7
S04	S02	S09	0.44	1.52719	0.126713	0.0227478	37	18	7
S04	S02	S10	0.666667	2.41191	0.0158692	0.0328121	38	20	4
S04	S02	S11	0.266667	1.05869	0.28974	0.0162995	38	19	11
S04	S02	S12	0.36	1.2163	0.223869	0.0174948	38	17	8
S04	S02	S13	0.36	1.2163	0.223869	0.0174609	37	17	8
S04	S02	S14	0.36	1.2163	0.223869	0.0197152	37	17	8
S04	S02	S15	0.36	1.2163	0.223869	0.0172973	37	17	8
S04	S02	S16	0.36	1.2163	0.223869	0.0183627	37	17	8
S04	S02	S17	0.36	1.2163	0.223869	0.0177624	37	17	8
S04	S02	S18	0.36	1.2163	0.223869	0.0189274	37	17	8
S04	S02	S19	0.36	1.2163	0.223869	0.0183323	37	17	8
S05	S06	S02	nan	3.04519e-314	nan	0	288.5	0	0
S05	S07	S02	nan	3.04519e-314	nan	0	295.5	0	0
S05	S02	S08	0.44	1.62136	0.10494	0.0228186	41	18	7
S05	S02	S09	0.44	1.52719	0.126713	0.0227478	41	18	7
S05	S02	S10	0.666667	2.41191	0.0158692	0.0328121	42	20	4
S05	S02	S11	0.241379	0.950178	0.342022	0.0142912	41	18	11
S05	S02	S12	0.36	1.2163	0.223869	0.0174948	42	17	8
S05	S02	S13	0.36	1.2163	0.223869	0.0174609	41	17	8
S05	S02	S14	0.36	1.2163	0.223869	0.0197152	41	17	8
S05	S02	S15	0.36	1.2163	0.223869	0.0172973	41	17	8
S05	S02	S16	0.36	1.2163	0.223869	0.0183627	41	17	8
S05	S02	S17	0.36	1.2163	0.223869	0.0177624	41	17	8
S05	S02	S18	0.36	1.2163	0.223869	0.0189274	41	17	8
S05	S02	S19	0.36	1.2163	0.223869	0.0183323	41	17	8
S06	S07	S02	nan	3.04519e-314	nan	0	299.25	0	0
S06	S02	S08	0.44	1.62136	0.10494	0.0228186	41	18	7
S06	S02	S09	0.44	1.52719	0.126713	0.0227478	41	18	7
S06	S02	S10	0.666667	2.41191	0.0158692	0.0328121	42	20	4
S06	S02	S11	0.241379	0.950178	0.342022	0.0142912	41	18	11
S06	S02	S12	0.36	1.2163	0.223869	0.0174948	42	17	8
S06	S02	S13	0.36	1.2163	0.223869	0.0174609	41	17	8
S06	S02	S14	0.36	1.2163	0.223869	0.0197152	41	17	8
S06	S02	S15	0.36	1.2163	0.223869	0.0172973	41	17	8
S06	S02	S16	0.36	1.2163	0.223869	0.0183627	41	17	8
S06	S02	S17	0.36	1.2163	0.223869	0.0177624	41	17	8
S06	S02	S18	0.36	1.2163	0.223869	0.0189274	41	17	8
S06	S02	S19	0.36	1.2163	0.223869	0.0183323	41	17	8
S07	S02	S08	0.44	1.62136	0.10494	0.0228186	41	18	7
S07	S02	S09	0.44	1.52719	0.126713	0.0227478	41	18	7
S07	S02	S10	0.666667	2.41191	0.0158692	0.0328121	42	20	4
S07	S02	S11	0.241379	0.950178	0.342022	0.0142912	41	18	11
S07	S02	S12	0.36	1.2163	0.223869	0.0174948	42	17	8
S07	S02	S13	0.36	1.2163	0.223869	0.0174609	41	17	8
S07	S02	S14	0.36	1.2163	0.223869	0.0197152	41	17	8
S07	S02	S15	0.36	1.2163	0.223869	0.0172973	41	17	8
S07	S02	S16	0.36	1.2163	0.223869	0.0183627	41	17	8
S07	S02	S17	0.36	1.2163	0.223869	0.0177624	41	17	8
S07	S02	S18	0.36	1.2163	0.223869	0.0189274	41	17	8
S07	S02	S19	0.36	1.2163	0.223869	0.0183323	41	17	8
S09	S08	S02	0	3.04519e-314	nan	0	81	2	2
S08	S10	S02	0.142857	0.353553	0.723674	0.00213447	68	4	3
S11	S08	S02	0	0	1	0	43	6	6
S12	S08	S02	0.142857	0.400892	0.6885	0.0042508	38	8	6
S13	S08	S02	0.0769231	0.213963	0.830576	0.00212993	37	7	6
S14	S08	S02	0.0769231	0.213963	0.830576	0.00212993	37	7	6
S15	S08	S02	0.0769231	0.213963	0.830576	0.00212993	38	7	6
